,간식·후식·음료·빵,구이·찜·오븐,국·찌개·탕,김치·절임·장아찌,면·파스타,무침·샐러드·나물,밥·죽,볶음·조림,튀김·전·부침,accuracy,macro avg,weighted avg
precision,0.9285714285714286,0.9210526315789473,1.0,0.7692307692307693,1.0,0.8,1.0,0.9,0.9166666666666666,0.9166666666666666,0.9150579440053124,0.9202950442908893
recall,1.0,0.875,1.0,1.0,1.0,0.875,0.9615384615384616,0.84375,0.7333333333333333,0.9166666666666666,0.9209579772079771,0.9166666666666666
f1-score,0.9629629629629629,0.8974358974358975,1.0,0.8695652173913043,1.0,0.835820895522388,0.9803921568627451,0.8709677419354839,0.8148148148148148,0.9166666666666666,0.9146621874361772,0.9164902623144363
support,26.0,40.0,36.0,10.0,11.0,32.0,26.0,32.0,15.0,0.9166666666666666,228.0,228.0
